SMILES,Eox
CC(c1ccccc1)(c1ccc(-c2ccccc2)cc1)C(C#N)Oc1ccccc1,1.7949046000000002
CC(c1ccc([N+](=O)[O-])cc1)C(C#N)Oc1ccccc1,2.11402348
COCOC(C)C(C)c1ccc([N+](=O)[O-])cc1,2.66663137
COC(=O)c1ccc(C(C#N)C(Oc2ccccc2)c2ccccc2)cc1,1.95201514
COC(C)C(C#N)c1ccc(-c2ccccc2)cc1,1.8806161
COCOC(OC)C(C#N)c1ccccc1,2.57523298
COC(C)C(C#N)(C#N)c1ccc([N+](=O)[O-])cc1,3.30865132
COCC(C)c1ccccc1,2.24275399
CCc1ccc(C(C)(C#N)C(OCOC)c2ccccc2)cc1,2.20112269
COCC(C#N)(C#N)c1ccc(OC)cc1,2.07426967
CCc1ccc(C(C)(C#N)C(OC)OCOC)cc1,2.21132644
c1ccc(OCC(c2ccccc2)c2ccccc2)cc1,1.7886463
COC(=O)c1ccc(C(c2ccccc2)C(C#N)OC)cc1,2.39308924
COC(=O)c1ccc(C(C#N)(C#N)C(OC)OC)cc1,2.93758855
COC(C#N)C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.51999668
COC(Oc1ccccc1)C(C)(C)c1ccc(C#N)cc1,1.90567651
CCc1ccc(CC(OCOC)c2ccccc2)cc1,1.99400017
N#CC(Oc1ccccc1)C(C#N)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.23752967
CCc1ccc(C(c2ccccc2)(c2ccccc2)C(OC)Oc2ccccc2)cc1,1.85822227
COCOC(C#N)C(C#N)(C#N)c1ccccc1,3.04163959
COC(=O)c1ccc(CC(C#N)OC)cc1,2.76913144
CCc1ccc(CC(C#N)OC)cc1,2.22912178
CC(Oc1ccccc1)C(C)(C#N)c1ccc(C#N)cc1,1.89267013
COC(Oc1ccccc1)C(C#N)(C#N)c1ccccc1,2.11198273
COc1ccc(C(C#N)COc2ccccc2)cc1,1.84320235
CCc1ccc(C(C#N)(c2ccccc2)C(Br)OCOC)cc1,2.1984289
CCc1ccc(C(C)(COCOC)c2ccccc2)cc1,1.91130898
CCc1ccc(C(C#N)C(Br)OC)cc1,2.37472249
COCOCC(c1ccccc1)(c1ccccc1)c1ccccc1,2.05734505
COCOC(C)Cc1ccccc1,2.24786947
CC(c1ccccc1)C(Br)Oc1ccccc1,2.08488157
CC(C#N)(c1ccccc1)C(Oc1ccccc1)c1ccccc1,1.91364904
COC(c1ccccc1)C(C#N)c1ccc(-c2ccccc2)cc1,1.86913348
CCc1ccc(C(C)(c2ccccc2)C(C#N)OCOC)cc1,2.05157653
N#CC(COc1ccccc1)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,1.99057171
COCOC(C)C(C)(c1ccccc1)c1ccc(C(=O)OC)cc1,2.1682257999999996
CCc1ccc(C(C)(C)C(C#N)Oc2ccccc2)cc1,2.07037864
COCOC(c1ccccc1)C(C)(C)c1ccccc1,2.09805121
COC(C)C(C)(C#N)c1ccc([N+](=O)[O-])cc1,3.06308107
COC(Oc1ccccc1)C(C#N)(C#N)c1ccc(-c2ccccc2)cc1,2.04341353
CC(c1ccc(C#N)cc1)C(Oc1ccccc1)c1ccccc1,1.79732629
COC(=O)c1ccc(C(C)C(C)OC)cc1,2.26256287
COC(=O)c1ccc(C(C)(C)C(C#N)Oc2ccccc2)cc1,2.09500369
COC(Oc1ccccc1)C(c1ccccc1)c1ccc(C#N)cc1,1.85245375
COCOC(C#N)C(C)(c1ccccc1)c1ccccc1,2.21524468
CCc1ccc(C(c2ccccc2)C(C#N)OC)cc1,2.04711409
COC(=O)c1ccc(C(C#N)(C#N)C(C)Oc2ccccc2)cc1,2.03859736
COCC(C#N)(C#N)c1ccc([N+](=O)[O-])cc1,3.30394399
COCOC(C)C(C#N)(C#N)c1ccc(-c2ccccc2)cc1,2.03669266
COCOC(C#N)C(C)(C#N)c1ccc(OC)cc1,1.98412294
COC(C#N)C(C#N)(c1ccccc1)c1ccc(-c2ccccc2)cc1,1.96347055
CCc1ccc(C(C#N)(C#N)C(OCOC)c2ccccc2)cc1,2.41180972
COC(=O)c1ccc(CCOc2ccccc2)cc1,1.81645492
BrC(Cc1ccccc1)Oc1ccccc1,2.09641861
CCc1ccc(C(COCOC)c2ccccc2)cc1,1.94583847
COC(C)C(c1ccccc1)(c1ccccc1)c1ccc(C#N)cc1,2.1434647
COCOC(c1ccccc1)C(c1ccccc1)c1ccc(C(=O)OC)cc1,2.20011592
COCOCC(C)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.34179839
COC(Cc1ccc(C#N)cc1)c1ccccc1,2.40190528
CCc1ccc(C(C)(c2ccccc2)C(OC)OC)cc1,1.91247901
COC(=O)c1ccc(C(C)C(Br)Oc2ccccc2)cc1,2.1110848
COC(Br)Cc1ccc([N+](=O)[O-])cc1,3.05094541
COC(=O)c1ccc(C(C)(C#N)C(Br)OC)cc1,2.69033128
COCOC(C)C(C#N)c1ccc(-c2ccccc2)cc1,1.8343591000000001
COCOC(Br)C(C#N)c1ccc(C#N)cc1,2.88863776
BrC(Oc1ccccc1)C(c1ccccc1)c1ccccc1,2.07573901
COC(c1ccccc1)C(c1ccccc1)c1ccc(C#N)cc1,2.2291762000000004
CCc1ccc(C(C)(C)C(C)OCOC)cc1,1.9437433000000002
COCOC(OC)C(C)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.28239896
COCOCC(c1ccccc1)c1ccccc1,2.13135625
COC(Cc1ccccc1)OC,2.26786882
N#CC(c1ccccc1)(c1ccc(-c2ccccc2)cc1)C(Br)Oc1ccccc1,1.93805641
COCOC(C#N)C(C)(c1ccccc1)c1ccc(C#N)cc1,2.40081688
CCc1ccc(C(C#N)(COC)c2ccccc2)cc1,2.21763916
COC(C#N)C(C)c1ccc([N+](=O)[O-])cc1,2.96866237
COC(=O)c1ccc(C(C)C(C#N)Oc2ccccc2)cc1,2.10888079
COC(C)C(c1ccccc1)c1ccc(C#N)cc1,2.22933946
COC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.14262119
CC(Oc1ccccc1)C(C)(C#N)c1ccc(-c2ccccc2)cc1,1.83982831
COC(=O)c1ccc(C(C)C(C#N)OC)cc1,2.67463111
N#Cc1ccc(C(C#N)(c2ccccc2)C(Br)Oc2ccccc2)cc1,2.21592493
O=[N+]([O-])c1ccc(C(COc2ccccc2)(c2ccccc2)c2ccccc2)cc1,1.8544945
COCOC(OC)C(C#N)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.57588602
CCc1ccc(C(C)(C#N)C(Br)Oc2ccccc2)cc1,2.16798091
CCc1ccc(C(C#N)C(C)OCOC)cc1,2.24748853
COC(=O)c1ccc(C(COc2ccccc2)c2ccccc2)cc1,1.81615561
COC(C)C(C#N)c1ccccc1,2.52269047
COC(=O)c1ccc(C(C#N)C(C#N)OC)cc1,3.04199332
COCOC(c1ccccc1)C(C#N)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.45183563
COC(Br)C(c1ccccc1)(c1ccccc1)c1ccccc1,2.03127787
COC(Br)C(C#N)c1ccc([N+](=O)[O-])cc1,2.90439235
COC(OC)C(C#N)c1ccccc1,2.49972523
CCc1ccc(C(C)(c2ccccc2)C(Br)OCOC)cc1,1.96145701
CC(c1ccccc1)(c1ccc(C#N)cc1)C(C#N)Oc1ccccc1,2.16229402
COCOC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(C#N)cc1,1.9856467
CCc1ccc(C(C#N)C(OC)Oc2ccccc2)cc1,1.93634218
COCOC(Br)C(C)c1ccc(C(=O)OC)cc1,2.4093063999999997
N#CC(C#N)(c1ccc([N+](=O)[O-])cc1)C(Br)Oc1ccccc1,2.37265453
N#Cc1ccc(C(C#N)C(Br)Oc2ccccc2)cc1,2.25001906
COCC(C#N)(c1ccccc1)c1ccc(C(=O)OC)cc1,2.50655494
O=[N+]([O-])c1ccc(CCOc2ccccc2)cc1,1.86064396
